"filename", "language", "TypeScript", "JSON with Comments", "JSON", "JavaScript", "Markdown", "SQL", "Log", "comment", "blank", "total"
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/src/infra/repository/ProductRepositoryDatabase.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/src/main_api.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 1, 3, 24
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/src/main_api_currency.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/src/main_cli.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 2, 20
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/test/integration/Checkout.test.ts", "TypeScript", 287, 0, 0, 0, 0, 0, 0, 0, 24, 311
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/test/integration/SimulateFreight.test.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 4, 33
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/test/integration/ValidateCoupon.test.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 6, 32
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/test/integration/api.test.ts", "TypeScript", 129, 0, 0, 0, 0, 0, 0, 0, 11, 140
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/test/integration/cli.test.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 2, 35
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/test/unit/Coupon.test.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/test/unit/Cpf.test.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 6, 32
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/test/unit/FreightCalculator.test.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/test/unit/Order.test.ts", "TypeScript", 54, 0, 0, 0, 0, 0, 0, 0, 7, 61
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/test/unit/Product.test.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/tsconfig.json", "JSON with Comments", 0, 16, 0, 0, 0, 0, 0, 83, 9, 108
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/yarn-error.log", "Log", 0, 0, 0, 0, 0, 0, 2715, 0, 425, 3140
"Total", "-", 1221, 16, 7293, 4, 2, 40, 2715, 86, 621, 11998
